Depth,Estimator,Alpha,var,abs,mse,mae,r2
8,500,0,0.7074783237,0.2889122593,0.2036921677,0.1752830347,0.7074761142
8,500,0.25,0.7184326879,0.2848254563,0.1960631947,0.1742795408,0.7184321409
8,500,0.5,0.7434676294,0.2688563161,0.1786303648,0.1623446032,0.7434675617
8,500,0.75,0.7746964606,0.2503532289,0.1568849382,0.150165076,0.7746963359
8,500,1,0.7293487463,0.2768613643,0.1884624747,0.1669220863,0.7293475932
8,600,0,0.7000824416,0.2944095645,0.2088405922,0.1794063799,0.7000824222
8,600,0.25,0.7718753837,0.2523177254,0.1588505034,0.15309925,0.7718735726
8,600,0.5,0.789280955,0.2397430738,0.1467293411,0.1429329235,0.7892808668
8,600,0.75,0.7594432607,0.2594953491,0.1675084565,0.1562148722,0.7594398197
8,600,1,0.7637408586,0.2555291993,0.1645135308,0.1535684567,0.7637408555
8,700,0,0.7001324154,0.2941821891,0.2088064634,0.1791070521,0.7001314349
8,700,0.25,0.7481192892,0.2676373589,0.1753912634,0.1623027826,0.7481192601
8,700,0.5,0.8066303156,0.2273423598,0.1346484668,0.1333169986,0.8066303031
8,700,0.75,0.7737035449,0.2510440956,0.1575764657,0.150641948,0.773703228
8,700,1,0.8061664027,0.2250051401,0.1349715708,0.1318147719,0.806166291
8,800,0,0.7288950425,0.2798167661,0.1887778995,0.1702398652,0.7288946093
8,800,0.25,0.7514913486,0.2657461026,0.1730449898,0.1617917535,0.7514887617
8,800,0.5,0.7940380665,0.2351420029,0.1434167772,0.1391144267,0.7940380652
8,800,0.75,0.7655945017,0.2562619357,0.1632231909,0.1543602946,0.7655939226
8,800,1,0.7459186061,0.2663388205,0.1769310073,0.1609385454,0.7459080222
8,900,0,0.7360968361,0.2750943957,0.1837644782,0.1679258427,0.7360944221
8,900,0.25,0.7487739897,0.2666635275,0.1749362818,0.1620025015,0.7487726627
8,900,0.5,0.7462993832,0.2677150318,0.1766601268,0.1620233247,0.7462970357
8,900,0.75,0.8164114505,0.2171299259,0.1278450086,0.1261853725,0.8164008018
8,900,1,0.8318245932,0.204615755,0.1171064078,0.1158245088,0.8318225887
8,1000,0,0.7084391281,0.2906817325,0.2030216158,0.1778469451,0.708439099
8,1000,0.25,0.7815217441,0.2461333105,0.1521322798,0.1483077697,0.7815216651
8,1000,0.5,0.7185072585,0.2822380437,0.1960128368,0.1713237382,0.7185044603
8,1000,0.75,0.8062599096,0.2283959905,0.1349066525,0.1353041284,0.8062595207
8,1000,1,0.7636059449,0.256921429,0.1646077827,0.1541175573,0.7636054996
10,1,0,0.0294057023,0.5681424876,0.6877487868,0.4851584733,0.0123186875
10,1,0.25,0.0293500299,0.568060127,0.6877937888,0.4852486253,0.0122540598
10,1,0.5,0.0291742467,0.5681296207,0.6879344617,0.4852496088,0.0120520383
10,1,0.75,0.0288690219,0.5681665959,0.6881592771,0.4852662086,0.0117291792
10,1,1,0.0284976124,0.5682749275,0.6884219494,0.4854062796,0.0113519535
10,100,0,0.7146672161,0.2866382971,0.1987885793,0.1715436273,0.7145181952
10,100,0.25,0.7162443674,0.285501476,0.1976730743,0.1698370748,0.7161201805
10,100,0.5,0.7159951834,0.2845112496,0.1978289707,0.1682550549,0.7158962965
10,100,0.75,0.7190374873,0.2836609961,0.1957063195,0.1684687264,0.7189446521
10,100,1,0.714490761,0.2850040818,0.1988882755,0.1669647314,0.7143750207
10,200,0,0.7973389035,0.2347648561,0.1411183499,0.1416870952,0.7973388544
10,200,0.25,0.7943911962,0.2338307445,0.1431710497,0.1402090542,0.7943909564
10,200,0.5,0.7949431358,0.2333403391,0.1427885169,0.1392159449,0.7949403147
10,200,0.75,0.796078111,0.2319999274,0.1419990353,0.1373911952,0.7960740953
10,200,1,0.7923674749,0.2334631832,0.1445823731,0.138232586,0.792364144
10,300,0,0.8258964799,0.2120813253,0.1212372659,0.1258684848,0.8258902317
10,300,0.25,0.8222661614,0.2118788486,0.1237608263,0.1239188811,0.8222661273
10,300,0.5,0.8258833646,0.2095764522,0.121246589,0.1212443053,0.8258768427
10,300,0.75,0.8195558181,0.2094281786,0.1256531618,0.1186120957,0.8195485297
10,300,1,0.8206019016,0.2102419984,0.124924793,0.1192064937,0.8205945457
10,400,0,0.8254840874,0.2124796769,0.1215221096,0.1268140774,0.8254811655
10,400,0.25,0.8450210091,0.1909390566,0.1079188794,0.106836223,0.8450168688
10,400,0.5,0.8482085735,0.1888143958,0.1056966297,0.1050073857,0.8482082586
10,400,0.75,0.8452221054,0.1899068473,0.1077781866,0.1044799263,0.8452189188
10,400,1,0.8460889879,0.1895862821,0.1071729428,0.104139397,0.8460881141
10,500,0,0.8473902912,0.1893747956,0.1062667618,0.1071024563,0.8473894876
