Depth,Estimator,Alpha,var,abs,mse,mae,r2
6,500,0.75,0.6591019013,0.3179238283,0.2368601251,0.1933982355,0.659101832
6,500,1,0.6798579067,0.307394244,0.2210311925,0.1874358952,0.6798578521
6,600,0,0.6267246237,0.3304555601,0.2565372926,0.200479949,0.6267245752
6,600,0.25,0.6458426031,0.3239782159,0.246003079,0.1974699611,0.6458425115
6,600,0.5,0.6657580557,0.3178186751,0.2340988616,0.1968071582,0.6657579554
6,600,0.75,0.6368244973,0.3271745109,0.2521763287,0.1980941735,0.6368244567
6,600,1,0.6740675089,0.3113977713,0.2263970147,0.1906858151,0.67406745
6,700,0,0.6947297178,0.3026139138,0.2108685734,0.1858528864,0.6947296568
6,700,0.25,0.6934086229,0.3033269295,0.2130526972,0.1865358954,0.6934086155
6,700,0.5,0.6454186826,0.3230458928,0.2460791693,0.1957171435,0.6454185216
6,700,0.75,0.7113703091,0.2947524655,0.201022928,0.1830540752,0.7113702991
6,700,1,0.6875862544,0.3047062836,0.217504869,0.1863346606,0.6875862535
6,800,0,0.6292545958,0.3316308838,0.2579222417,0.2016393574,0.6292545069
6,800,0.25,0.6692537424,0.3148152786,0.2305429702,0.1921323242,0.6692536364
6,800,0.5,0.6163220075,0.337165403,0.2690843246,0.2044769797,0.6163218881
6,800,0.75,0.6542459574,0.3213200216,0.2415906145,0.1956376545,0.6542459144
6,800,1,0.6898819909,0.3044918314,0.2151404154,0.1878485033,0.6898819657
6,900,0,0.6332607634,0.3297102593,0.2554568319,0.1996701226,0.6332607411
6,900,0.25,0.6437488552,0.3252774722,0.2477538425,0.197815927,0.6437488538
6,900,0.5,0.6937410808,0.3026527609,0.2119844236,0.1873671345,0.6937410663
6,900,0.75,0.59300782,0.3463185466,0.2866922916,0.2085130895,0.593007682
6,900,1,0.6773002105,0.3123227084,0.227844277,0.1897100499,0.6773001653
6,1000,0,0.6440450768,0.3267053463,0.2493990333,0.1991676088,0.6440450766
6,1000,0.25,0.6538663836,0.31955984,0.2394096878,0.1956843553,0.6538663405
6,1000,0.5,0.6787968472,0.3087619735,0.2222660925,0.1881278643,0.6787968428
6,1000,0.75,0.662001213,0.3166460026,0.2353962922,0.1939857336,0.6620011441
6,1000,1,0.6879631055,0.3049162407,0.2178479487,0.1861104635,0.6879630512
8,1,0,0.0260082947,0.5660840407,0.6813521784,0.4852333665,0.0095121495
8,1,0.25,0.0261537126,0.5672656973,0.6845121531,0.4852561355,0.0098972053
8,1,0.5,0.0263675552,0.5665231225,0.6808790858,0.4852234125,0.0098028313
8,1,0.75,0.0261795952,0.5721241525,0.6978961972,0.4852261841,0.0084387335
8,1,1,0.0257266003,0.5684647722,0.6877043468,0.4852606952,0.009090625
8,100,0,0.6380139125,0.3284511252,0.2505582753,0.1986072006,0.6379534196
8,100,0.25,0.6377542742,0.3285552575,0.2523738214,0.1978611499,0.6376873195
8,100,0.5,0.6372858526,0.3282798187,0.2521023852,0.198080966,0.6372190162
8,100,0.75,0.6390508076,0.3282700898,0.2529107352,0.1980137197,0.6389840092
8,100,1,0.6361035278,0.3295940459,0.2553239599,0.1979226979,0.6360309932
8,200,0,0.7278060358,0.2862207083,0.1902552573,0.1790407746,0.7278054333
8,200,0.25,0.7264215797,0.2867946623,0.1916145133,0.1793638617,0.7264205805
8,200,0.5,0.724130222,0.2855818209,0.1908128184,0.1768890159,0.7241294584
8,200,0.75,0.7286502564,0.2843498583,0.1900552684,0.1761913288,0.7286492361
8,200,1,0.7198201036,0.2865555122,0.1950085656,0.1762942672,0.7198187165
8,300,0,0.7733013299,0.2627820665,0.1574098405,0.1674469875,0.7733011218
8,300,0.25,0.7713630181,0.2642210488,0.1597480888,0.1672905361,0.7713627404
8,300,0.5,0.7673779591,0.2648995683,0.1613711117,0.168009907,0.7673777122
8,300,0.75,0.7729712668,0.2602088057,0.1571947859,0.1628477812,0.7729709239
8,300,1,0.7772472642,0.259222962,0.1557821565,0.1621957123,0.7772470395
8,400,0,0.7839371451,0.2572564916,0.1508950279,0.1631008959,0.7839370665
8,400,0.25,0.8015433329,0.2455680672,0.1384408965,0.1544461922,0.8015432295
8,400,0.5,0.805596654,0.2417859758,0.1341386175,0.1536283088,0.8055964516
8,400,0.75,0.8041484007,0.243340291,0.1366983943,0.15332058,0.8041482161
8,400,1,0.8086459892,0.2400781027,0.1327137646,0.1515817073,0.8086458917
8,500,0,0.766403089,0.264812549,0.161611631,0.1666753821,0.7664029619
8,500,0.25,0.7710615608,0.2643720024,0.1607581331,0.1680068809,0.7710614128
8,500,0.5,0.8049267882,0.2427396471,0.1356861914,0.1531426095,0.8049266288
8,500,0.75,0.8426768892,0.2200148544,0.1096408894,0.1398076266,0.8426767733
8,500,1,0.7855523762,0.2538801231,0.150237534,0.1591659535,0.785552105
8,600,0,0.7527655387,0.2735608042,0.172639927,0.1717098355,0.7527652175
8,600,0.25,0.8397899623,0.2216930637,0.1109684416,0.1423556966,0.8397898645
8,600,0.5,0.8606807428,0.2075695249,0.0969501741,0.1334461054,0.8606806963
8,600,0.75,0.8250724877,0.2311195795,0.1225669132,0.1457099323,0.8250722735
8,600,1,0.8303651054,0.2265835232,0.117654288,0.1439175644,0.8303649797
8,700,0,0.7518609094,0.273861748,0.1730343276,0.1715212469,0.751860718
8,700,0.25,0.8098222681,0.241941255,0.1329000431,0.1532639919,0.8098221226
8,700,0.5,0.8804782583,0.1919574106,0.083144458,0.1222000562,0.8804781826
8,700,0.75,0.8380161794,0.2228957065,0.1128683637,0.1415910121,0.8380160714
8,700,1,0.8839877444,0.1888290609,0.0807482554,0.1210163517,0.8839876091
8,800,0,0.7840419101,0.257290926,0.1504513079,0.1629575945,0.784041785
8,800,0.25,0.8126452404,0.2398696779,0.1305246743,0.1523475008,0.8126450921
8,800,0.5,0.8695617847,0.2003064074,0.0903213269,0.1284701973,0.8695617041
8,800,0.75,0.8290670398,0.2285836355,0.1193682197,0.1445758194,0.8290669245
8,800,1,0.8087425676,0.2402616037,0.1324691874,0.1537816224,0.8087422849
8,900,0,0.7963605536,0.2499059851,0.1417110456,0.1590590828,0.7963604436
8,900,0.25,0.8106979327,0.2402520441,0.1314281996,0.1534736617,0.81069775
8,900,0.5,0.8073784952,0.2420846812,0.1338060685,0.1533813486,0.8073783494
8,900,0.75,0.8958068414,0.1781819346,0.0715980233,0.1141268849,0.8958067273
8,900,1,0.9128988438,0.1633770509,0.0604860958,0.1033656644,0.9128987649
8,1000,0,0.7607825776,0.2693477156,0.1671315047,0.1696224511,0.7607823329
