Depth,Estimator,Alpha,var,abs,mse,mae,r2
8,200,0.75,0.4914968161,0.3727105995,0.3458017213,0.2179563465,0.4914392277
8,200,1,0.4975943982,0.3757168425,0.3504774059,0.21390574,0.4975920748
8,300,0,0.4950683496,0.376718259,0.3555764472,0.2144910186,0.4950664252
8,300,0.25,0.5127042788,0.365171451,0.3346967795,0.2062211553,0.5126803991
8,300,0.5,0.5013034071,0.3687917212,0.3524988541,0.20616436,0.5012819635
8,300,0.75,0.4980935078,0.3749576887,0.3575167744,0.2124445538,0.4978915963
8,300,1,0.493051947,0.3690469266,0.3469907581,0.213760345,0.4928639733
8,400,0,0.4891120043,0.3754012463,0.3515917803,0.2143537352,0.4890216192
8,400,0.25,0.5030589196,0.3716410363,0.3434818458,0.2107428189,0.5030578295
8,400,0.5,0.5003274229,0.3765164855,0.3605566908,0.2129074815,0.5002965571
8,400,0.75,0.5068522342,0.3683065672,0.3401686434,0.2097543627,0.5068035591
8,400,1,0.5126847756,0.3683414982,0.3447414483,0.2059453726,0.5126844792
8,500,0,0.4790723973,0.3853111006,0.3720143147,0.2206788494,0.4790371668
8,500,0.25,0.4987370998,0.3666392717,0.3372834415,0.2044087292,0.4987086463
8,500,0.5,0.498966345,0.3733229919,0.3504070585,0.2089784338,0.4989662578
8,500,0.75,0.5016315291,0.371706727,0.3458611331,0.2101479185,0.5016217117
8,500,1,0.4974966748,0.368786329,0.3413622378,0.2067784869,0.497439648
8,600,0,0.486365287,0.3778046059,0.3536432533,0.2167179143,0.4863563938
8,600,0.25,0.5071952657,0.3748163724,0.3503787508,0.2118172668,0.5071658405
8,600,0.5,0.504575796,0.3684372697,0.3458460095,0.2017585248,0.5045702995
8,600,0.75,0.4886333522,0.3729984276,0.3472746296,0.2099661136,0.4885062587
8,600,1,0.502434219,0.3713119038,0.3519505018,0.2060497979,0.5024313978
8,700,0,0.4917289834,0.3754639537,0.351895007,0.2186509103,0.4917186849
8,700,0.25,0.4968234842,0.3704217749,0.3453561449,0.2107725853,0.4968230193
8,700,0.5,0.5126716767,0.3688821565,0.3406645023,0.2062093934,0.5126713853
8,700,0.75,0.5155337918,0.3636376519,0.3364088734,0.2031153912,0.5155166889
8,700,1,0.4955354828,0.3697094571,0.3518648323,0.2016657397,0.4955354431
8,800,0,0.5077823967,0.3699201263,0.3420842659,0.2087462309,0.5077602051
8,800,0.25,0.5062781957,0.3692518013,0.3431262519,0.2073003873,0.5062358441
8,800,0.5,0.5001576287,0.3744843849,0.3557985787,0.2048748938,0.5001559514
8,800,0.75,0.5079936022,0.3669751364,0.3386430756,0.2057665675,0.507966606
8,800,1,0.5013137189,0.3706476877,0.3547782866,0.2020405949,0.5011177938
8,900,0,0.4958514944,0.3758480383,0.3519782087,0.2127599462,0.4957689842
8,900,0.25,0.5046761681,0.3723094609,0.3489686107,0.2072342932,0.504659938
8,900,0.5,0.5049091119,0.3702364342,0.3480763598,0.207359015,0.5048718238
8,900,0.75,0.5186959749,0.3729218912,0.3528329497,0.2073671697,0.518482899
8,900,1,0.5119089851,0.3695705716,0.3435876562,0.2078108131,0.511842446
8,1000,0,0.4954815156,0.3760177999,0.3465820601,0.2190417184,0.4954733725
8,1000,0.25,0.5037646274,0.3691428885,0.3438582064,0.204133957,0.5037576794
8,1000,0.5,0.4874971028,0.3770278895,0.3638822392,0.2146405846,0.4874554703
8,1000,0.75,0.5198304113,0.3686926841,0.3341572485,0.2078354984,0.5198280847
8,1000,1,0.5104405919,0.3702827862,0.3413388537,0.2079630638,0.5104151619
10,1,0,0.0250534099,0.567837202,0.6857098357,0.4851584733,0.0091111489
10,1,0.25,0.025772953,0.5673840634,0.6804448675,0.4852486253,0.0088958955
10,1,0.5,0.0247098716,0.5749319039,0.7050265502,0.4852496088,0.0057810753
10,1,0.75,0.0244724537,0.570353354,0.6902860164,0.4852662086,0.0082765539
10,1,1,0.0240989303,0.5714560215,0.7012458583,0.4854062796,0.0063408063
10,100,0,0.4928067734,0.3833421017,0.3684080107,0.2139444374,0.4922244063
10,100,0.25,0.4846460835,0.3834725236,0.3655691919,0.2125328055,0.4843714384
10,100,0.5,0.4806176735,0.3865254809,0.3672036079,0.2197184559,0.4805252257
10,100,0.75,0.5011035302,0.3708271456,0.3409018825,0.2085849284,0.501048126
10,100,1,0.4909640118,0.3730371175,0.3477394767,0.2084401264,0.490844152
10,200,0,0.4999174513,0.3665183596,0.337153541,0.2071274072,0.4998807133
10,200,0.25,0.4910099452,0.3709846376,0.3546944388,0.2103365475,0.4909406471
10,200,0.5,0.498297624,0.3668536766,0.3457031022,0.2012517034,0.4980790919
10,200,0.75,0.5089563573,0.3641582559,0.3417284861,0.1995883574,0.5089428255
10,200,1,0.4955205054,0.369644821,0.3533730033,0.2053200284,0.4955145023
10,300,0,0.4969251926,0.3674690623,0.3400152682,0.206563266,0.4967063138
10,300,0.25,0.4932753048,0.3684078087,0.3497803209,0.2058035194,0.4932728851
10,300,0.5,0.495964118,0.366740784,0.3413133349,0.2030167797,0.4957161957
10,300,0.75,0.4984213345,0.3787512205,0.3690251754,0.2099543273,0.4983219016
10,300,1,0.4988927229,0.3678123671,0.3527288468,0.19393747,0.498788593
10,400,0,0.5123372216,0.362115584,0.3343180953,0.2018678819,0.5122869277
10,400,0.25,0.5067854683,0.3691990231,0.3464590814,0.204514771,0.5067160851
10,400,0.5,0.5071492679,0.3643914463,0.3379324215,0.2049873808,0.5071491684
10,400,0.75,0.5101812837,0.3677739601,0.3438790415,0.2032572189,0.510049352
10,400,1,0.5052049376,0.3675162922,0.3406136546,0.2042267259,0.5051551184
10,500,0,0.5073326855,0.3660696668,0.3464228035,0.1978528018,0.507297327
10,500,0.25,0.504089885,0.3664447869,0.3382228765,0.2066898632,0.5040419879
10,500,0.5,0.5172891324,0.3634825592,0.3366450982,0.199683662,0.5172808317
10,500,0.75,0.5015685881,0.3723581027,0.3481690455,0.2085183474,0.5015569508
10,500,1,0.5173538464,0.3618323998,0.3360754154,0.1979797253,0.5173514153
10,600,0,0.505516518,0.3647896153,0.3379165067,0.2051706134,0.5054092505
10,600,0.25,0.5164134429,0.3665158161,0.3466253314,0.2007390673,0.5164104455
10,600,0.5,0.5191778829,0.3626877169,0.3428676379,0.1964661721,0.518968856
10,600,0.75,0.5292224953,0.3577994783,0.3271784263,0.1985924989,0.5292189267
10,600,1,0.508239961,0.3613966929,0.3327475166,0.1984895619,0.5081551194
10,700,0,0.528391295,0.3628179373,0.3379016502,0.2004386792,0.5282833226
10,700,0.25,0.5073130516,0.3701021435,0.3480555659,0.2059726068,0.5073130207
10,700,0.5,0.5059629402,0.3656574862,0.3408750476,0.1996409386,0.5058947885
10,700,0.75,0.510846328,0.368772347,0.3452113581,0.2079396805,0.5107931599
10,700,1,0.5062232203,0.3612345702,0.3391840726,0.1945621224,0.5059172153
